,pretrain_lr_mean,pretrain_reg_loss_mean,pretrain_mi_mean,pretrain_individual_mis_Conv5|0
0,2e-06,3.575767544905342,-3.575767544905342,-3.575767544905342
1,4.179999999999999e-05,3.537557633717854,-3.537557633717854,-3.537557633717854
2,8.159999999999999e-05,3.505333472092946,-3.505333472092946,-3.505333472092946
3,0.0001214,3.4883233531316127,-3.4883233531316127,-3.4883233531316127
4,0.0001612,3.466344017982483,-3.466344017982483,-3.466344017982483
5,0.00020099999999999998,3.433236106236776,-3.433236106236776,-3.433236106236776
6,0.0002408,3.412591137886048,-3.412591137886048,-3.412591137886048
7,0.0002806,3.365512497425078,-3.365512497425078,-3.365512497425078
8,0.0003204,3.325078365008034,-3.325078365008034,-3.325078365008034
9,0.0003602,3.2762179978688564,-3.2762179978688564,-3.2762179978688564
10,0.00039999999999999996,3.240370926856995,-3.240370926856995,-3.240370926856995
11,0.00039999999999999996,3.2016227857271833,-3.2016227857271833,-3.2016227857271833
12,0.00039987819586246817,3.1533386103312186,-3.1533386103312186,-3.1533386103312186
13,0.0003995129318494518,3.1264298550287877,-3.1264298550287877,-3.1264298550287877
14,0.0003989046529788862,3.109603982766469,-3.109603982766469,-3.109603982766469
15,0.00039805410034487695,3.0704029417037986,-3.0704029417037986,-3.0704029417037986
16,0.000396962310214791,3.057049933274586,-3.057049933274586,-3.057049933274586
17,0.0003956306127667244,3.017853507995607,-3.017853507995607,-3.017853507995607
18,0.00039406063046888544,3.002154856522877,-3.002154856522877,-3.002154856522877
19,0.00039225427610286684,2.9833957815170282,-2.9833957815170282,-2.9833957815170282
20,0.00039021375043321593,2.9828757977485636,-2.9828757977485636,-2.9828757977485636
21,0.00038794153952614234,2.959428204695386,-2.959428204695386,-2.959428204695386
22,0.00038544041172062913,2.919718163808187,-2.919718163808187,-2.919718163808187
23,0.000382713414255638,2.927802992661795,-2.927802992661795,-2.927802992661795
24,0.0003797638695575184,2.8853263409932444,-2.8853263409932444,-2.8853263409932444
25,0.0003765953711921424,2.886985865434012,-2.886985865434012,-2.886985865434012
26,0.0003732117794866985,2.8681362175941474,-2.8681362175941474,-2.8681362175941474
27,0.00036961721682647733,2.876462655067442,-2.876462655067442,-2.876462655067442
28,0.00036581606263238055,2.852348598639171,-2.852348598639171,-2.852348598639171
29,0.00036181294802527074,2.8442740106582667,-2.8442740106582667,-2.8442740106582667
30,0.0003576127501836641,2.814233830769856,-2.814233830769856,-2.814233830769856
31,0.00035322058640163966,2.8015134072303782,-2.8015134072303782,-2.8015134072303782
32,0.000348641807854205,2.784067356586456,-2.784067356586456,-2.784067356586456
33,0.0003438819930777133,2.7841756979624432,-2.7841756979624432,-2.7841756979624432
34,0.00033894694117327654,2.766722728411357,-2.766722728411357,-2.766722728411357
35,0.00033384266474145377,2.7728649346033714,-2.7728649346033714,-2.7728649346033714
36,0.00032857538255682357,2.7710762635866817,-2.7710762635866817,-2.7710762635866817
37,0.0003231515119913654,2.763376038074494,-2.763376038074494,-2.763376038074494
38,0.0003175776611958801,2.7273340018590284,-2.7273340018590284,-2.7273340018590284
39,0.00031186062104897593,2.7248696104685473,-2.7248696104685473,-2.7248696104685473
40,0.00030600735688342945,2.7280567725499485,-2.7280567725499485,-2.7280567725499485
41,0.00030002500000000015,2.691940871079762,-2.691940871079762,-2.691940871079762
42,0.000293920838979039,2.708276257514952,-2.708276257514952,-2.708276257514952
43,0.00028770231080047615,2.670379854043322,-2.670379854043322,-2.670379854043322
44,0.00028137699178300637,2.68865026394526,-2.68865026394526,-2.68865026394526
45,0.0002749525883535117,2.6577104441324884,-2.6577104441324884,-2.6577104441324884
46,0.0002684369276579676,2.6545610777537028,-2.6545610777537028,-2.6545610777537028
47,0.0002618379480252708,2.643816525141399,-2.643816525141399,-2.643816525141399
48,0.000255163689295609,2.63817657629649,-2.63817657629649,-2.63817657629649
49,0.0002484222830251536,2.630891500314077,-2.630891500314077,-2.630891500314077
50,0.00024162194257901101,2.634340833822884,-2.634340833822884,-2.634340833822884
51,0.00023477095312450277,2.6216975688934316,-2.6216975688934316,-2.6216975688934316
52,0.00022787766153696513,2.6157963498433445,-2.6157963498433445,-2.6157963498433445
53,0.00022095046623036733,2.5960185360908516,-2.5960185360908516,-2.5960185360908516
54,0.00021399780692513788,2.6085607600212124,-2.6085607600212124,-2.6085607600212124
55,0.0002070281543656651,2.594452096621197,-2.594452096621197,-2.594452096621197
56,0.00020004999999999998,2.6085971562067654,-2.6085971562067654,-2.6085971562067654
57,0.00019307184563433497,2.588292474746706,-2.588292474746706,-2.588292474746706
58,0.00018610219307486214,2.5654730439186118,-2.5654730439186118,-2.5654730439186118
59,0.00017914953376963272,2.562189265886945,-2.562189265886945,-2.562189265886945
60,0.00017222233846303492,2.5557122802734376,-2.5557122802734376,-2.5557122802734376
61,0.00016532904687549727,2.561309283574425,-2.561309283574425,-2.561309283574425
62,0.00015847805742098906,2.562866489092509,-2.562866489092509,-2.562866489092509
63,0.00015167771697484643,2.560732300281525,-2.560732300281525,-2.560732300281525
64,0.00014493631070439103,2.551784048875172,-2.551784048875172,-2.551784048875172
65,0.0001382620519747293,2.524385538101197,-2.524385538101197,-2.524385538101197
66,0.00013166307234203255,2.5538164361317945,-2.5538164361317945,-2.5538164361317945
67,0.00012514741164648837,2.5220815126101193,-2.5220815126101193,-2.5220815126101193
68,0.00011872300821699377,2.52693460226059,-2.52693460226059,-2.52693460226059
69,0.00011239768919952394,2.5312292472521474,-2.5312292472521474,-2.5312292472521474
70,0.00010617916102096117,2.516154851118723,-2.516154851118723,-2.516154851118723
71,0.00010007500000000003,2.514164563814799,-2.514164563814799,-2.514164563814799
72,9.409264311657069e-05,2.5168523128827394,-2.5168523128827394,-2.5168523128827394
73,8.82393789510242e-05,2.493475652535756,-2.493475652535756,-2.493475652535756
74,8.252233880412002e-05,2.5049047732353205,-2.5049047732353205,-2.5049047732353205
75,7.694848800863462e-05,2.500359988212585,-2.500359988212585,-2.500359988212585
76,7.152461744317645e-05,2.4877598237991334,-2.4877598237991334,-2.4877598237991334
77,6.625733525854629e-05,2.489357167085012,-2.489357167085012,-2.489357167085012
78,6.115305882672354e-05,2.4884550007184347,-2.4884550007184347,-2.4884550007184347
79,5.6218006922286694e-05,2.4723111907641067,-2.4723111907641067,-2.4723111907641067
80,5.1458192145795064e-05,2.4752729431788136,-2.4752729431788136,-2.4752729431788136
81,4.6879413598360363e-05,2.4805325738588953,-2.4805325738588953,-2.4805325738588953
82,4.248724981633595e-05,2.4847851411501565,-2.4847851411501565,-2.4847851411501565
83,3.828705197472927e-05,2.464220994313558,-2.464220994313558,-2.464220994313558
84,3.428393736761942e-05,2.4775294407208777,-2.4775294407208777,-2.4775294407208777
85,3.0482783173522623e-05,2.4692314712206493,-2.4692314712206493,-2.4692314712206493
86,2.6888220513301474e-05,2.4719866426785795,-2.4719866426785795,-2.4719866426785795
87,2.3504628807857587e-05,2.4642425298690807,-2.4642425298690807,-2.4642425298690807
88,2.0336130442481547e-05,2.4762794383366877,-2.4762794383366877,-2.4762794383366877
89,1.7386585744361976e-05,2.4753645912806195,-2.4753645912806195,-2.4753645912806195
90,1.4659588279370876e-05,2.4607613698641457,-2.4607613698641457,-2.4607613698641457
91,1.2158460473857632e-05,2.4640166600545244,-2.4640166600545244,-2.4640166600545244
92,9.886249566784051e-06,2.4645665272076926,-2.4645665272076926,-2.4645665272076926
93,7.84572389713318e-06,2.461272640228269,-2.461272640228269,-2.461272640228269
94,6.0393695311145034e-06,2.4607914717992148,-2.4607914717992148,-2.4607914717992148
95,4.469387233275551e-06,2.4593979605038983,-2.4593979605038983,-2.4593979605038983
96,3.1376897852090055e-06,2.45834323167801,-2.45834323167801,-2.45834323167801
97,2.045899655123028e-06,2.458593217531839,-2.458593217531839,-2.458593217531839
98,1.1953470211137557e-06,2.4669797388712564,-2.4669797388712564,-2.4669797388712564
99,5.870681505481517e-07,2.4639947891235345,-2.4639947891235345,-2.4639947891235345
